project_id,project_type,project_location,total_area_sqft,num_floors,construction_type,foundation_type,material_quality_index,labor_cost_index,material_cost_index,inflation_rate,equipment_cost,contractor_experience_years,avg_temperature,rainfall_index,weather_delay_days,complexity_score,risk_index,resource_utilization_rate,total_project_cost,cost_category
1051,Residential,Urban,10708,13,RCC,Pile,0.871,1.279,2.052,8.19,28406,6,29.83,0.793,44,0.801,0.756,0.609,25103675,High
1052,Commercial,Urban,1062,7,Hybrid,Strip,0.635,1.803,2.001,6.76,107413,13,34.55,0.642,43,0.472,0.162,0.867,2284002,Low
1053,Residential,Rural,11230,3,Hybrid,Pile,0.781,1.971,2.345,5.48,133130,12,20.64,0.915,41,0.492,0.756,0.689,27689540,High
1054,Commercial,Semi-Urban,17224,8,Steel,Strip,0.639,1.529,1.874,8.52,41035,19,37.14,0.811,9,0.443,0.542,0.631,24698727,High
1055,Industrial,Rural,16652,10,Steel,Pile,0.694,0.974,1.335,8.01,126760,26,29.8,0.901,30,0.704,0.513,0.802,24107943,High
1056,Industrial,Rural,14498,1,Hybrid,Pile,0.953,1.256,2.131,8.29,112731,26,35.17,0.526,7,0.278,0.471,0.891,39268761,High
1057,Residential,Semi-Urban,19180,1,RCC,Raft,0.928,0.811,1.645,8.42,150614,17,23.68,0.913,26,0.432,0.867,0.555,25650448,High
1058,Industrial,Semi-Urban,17118,13,Steel,Raft,0.758,1.523,1.129,5.36,75790,5,24.8,0.155,28,0.599,0.26,0.725,28237356,High
1059,Industrial,Urban,9808,13,RCC,Raft,0.619,1.786,2.071,8.16,43658,27,38.43,0.084,59,0.628,0.833,0.886,22079157,High
1060,Commercial,Urban,10109,10,Steel,Raft,0.597,1.556,1.025,6.42,114274,24,30.55,0.526,13,0.686,0.935,0.952,14436256,Medium
1061,Residential,Rural,18175,13,Steel,Raft,0.977,1.743,1.103,3.23,17452,15,22.94,0.826,22,0.838,0.251,0.507,28355683,High
1062,Commercial,Semi-Urban,9220,8,Steel,Raft,0.601,1.76,2.09,6.82,98020,14,17.05,0.212,3,0.331,1.0,0.828,16895623,Medium
1063,Commercial,Urban,10672,13,Hybrid,Pile,0.904,1.821,2.109,5.82,158753,3,25.86,0.969,51,0.38,0.991,0.799,44189482,High
1064,Commercial,Rural,14957,9,RCC,Pile,0.684,1.12,2.144,4.65,25826,5,36.23,0.185,33,0.898,0.659,0.759,24539316,High
1065,Commercial,Semi-Urban,3439,10,Hybrid,Raft,0.993,1.846,1.299,8.82,153504,25,21.29,0.709,40,0.865,0.342,0.58,10041723,Low
1066,Commercial,Rural,14845,6,Steel,Raft,0.684,1.585,2.273,3.33,23343,14,36.51,0.915,37,0.857,0.487,0.871,28121430,High
1067,Commercial,Urban,16658,5,Hybrid,Raft,0.676,1.148,2.029,8.68,188922,8,19.04,0.965,26,0.367,0.253,0.696,31360505,High
1068,Commercial,Urban,5935,2,Hybrid,Pile,0.819,1.985,2.218,3.96,111845,11,18.25,0.661,18,0.247,0.208,0.617,19568073,Medium
1069,Residential,Semi-Urban,5892,11,Hybrid,Raft,0.981,1.94,2.005,5.26,59827,25,30.14,0.574,30,0.619,0.734,0.925,16613462,Medium
1070,Industrial,Rural,8472,9,RCC,Raft,0.988,1.489,1.785,5.5,176731,15,35.12,0.091,2,0.896,0.622,0.654,19205446,Medium
1071,Commercial,Semi-Urban,18117,6,Hybrid,Pile,0.854,1.812,0.986,7.39,121508,13,34.5,0.02,28,0.39,0.607,0.599,37936786,High
1072,Commercial,Urban,19684,8,Hybrid,Pile,0.877,1.114,2.009,4.29,69237,5,28.59,0.986,12,0.923,0.323,0.656,58954130,High
1073,Commercial,Urban,15299,9,Hybrid,Strip,0.782,1.299,1.974,8.92,52841,13,30.97,0.274,26,0.313,0.311,0.591,31223410,High
1074,Commercial,Rural,19659,9,Hybrid,Raft,0.878,1.021,1.331,7.49,178273,3,21.45,0.072,42,0.438,0.991,0.889,34327166,High
1075,Commercial,Rural,15552,8,Hybrid,Pile,0.93,1.424,2.051,7.74,156386,13,28.78,0.538,59,0.439,0.666,0.591,43589938,High
1076,Commercial,Rural,6544,12,Hybrid,Strip,0.743,1.395,1.736,3.64,190589,11,20.19,0.313,31,0.321,0.838,0.858,10112540,Low
1077,Industrial,Semi-Urban,14915,10,Hybrid,Pile,0.81,1.055,1.751,5.86,183488,9,38.21,0.358,45,0.898,0.441,0.581,39130739,High
1078,Industrial,Rural,17774,8,Steel,Strip,0.769,1.607,1.425,8.67,79603,4,31.95,0.354,48,0.53,0.859,0.613,32191527,High
1079,Commercial,Rural,14358,3,Hybrid,Strip,0.781,0.941,0.999,4.62,16912,17,29.12,0.249,49,0.353,0.75,0.671,15076192,Medium
1080,Industrial,Urban,18072,13,Hybrid,Raft,0.945,0.874,1.169,3.87,60755,15,21.18,0.968,36,0.318,0.415,0.975,35970252,High
1081,Residential,Urban,6144,3,RCC,Raft,0.678,1.262,2.107,5.91,20941,27,25.22,0.265,56,0.537,0.746,0.957,8730622,Low
1082,Commercial,Rural,17624,2,Steel,Strip,0.604,1.292,1.261,8.58,96653,18,34.51,0.557,2,0.214,0.933,0.543,16457157,Medium
1083,Residential,Rural,18253,1,Hybrid,Raft,0.728,1.184,0.804,5.92,191010,16,20.99,0.239,38,0.297,0.292,0.668,15592204,Medium
1084,Residential,Urban,18884,4,RCC,Pile,0.604,1.11,2.495,5.43,150663,24,18.22,0.762,5,0.203,0.593,0.673,23468265,High
1085,Commercial,Rural,18355,2,Hybrid,Pile,0.749,1.207,1.158,6.9,164353,2,22.68,0.229,58,0.22,0.97,0.606,28982734,High
1086,Industrial,Semi-Urban,18420,14,Hybrid,Strip,0.952,0.996,1.914,8.62,16730,6,34.86,0.615,2,0.998,0.839,0.718,51353656,High
1087,Residential,Semi-Urban,17202,14,Hybrid,Strip,0.809,1.284,2.376,3.29,14011,12,37.08,0.834,58,0.559,0.658,0.874,31433666,High
1088,Commercial,Semi-Urban,5653,2,Hybrid,Pile,0.928,1.886,1.82,3.92,172749,5,25.36,0.272,51,0.783,0.163,0.55,18834359,Medium
1089,Residential,Rural,2394,13,Hybrid,Pile,0.583,1.069,2.158,3.8,67969,25,34.53,0.803,12,0.79,0.466,0.836,3289968,Low
1090,Residential,Urban,8491,11,RCC,Strip,0.95,1.621,2.46,3.51,49976,24,23.31,0.092,10,0.904,0.686,0.63,20192243,Medium
1091,Residential,Rural,15939,11,Hybrid,Pile,0.801,0.97,2.263,4.81,72420,17,27.72,0.116,26,0.283,0.469,0.821,24961683,High
1092,Residential,Rural,9967,5,RCC,Pile,0.516,1.225,1.748,4.38,75038,19,15.5,0.401,52,0.621,0.997,0.841,9101685,Low
1093,Industrial,Urban,6435,4,Hybrid,Strip,0.817,1.185,1.418,6.29,33564,12,32.8,0.407,1,0.457,0.778,0.864,13636420,Medium
1094,Residential,Urban,17607,1,RCC,Raft,0.976,1.924,1.62,4.96,143569,5,32.97,0.516,39,0.639,0.268,0.931,35366352,High
1095,Residential,Urban,2829,9,Steel,Pile,0.54,1.314,2.231,5.43,13298,28,17.51,0.024,43,0.466,0.541,0.95,4154652,Low
1096,Residential,Semi-Urban,9827,14,Hybrid,Raft,0.791,1.629,2.251,8.65,146959,24,23.97,0.117,11,0.347,0.446,0.88,19015542,Medium
1097,Industrial,Rural,3270,4,Steel,Raft,0.958,1.523,2.238,3.93,15677,7,27.09,0.01,54,0.738,0.634,0.741,9621126,Low
1098,Residential,Urban,5346,5,Steel,Pile,0.505,0.969,1.815,5.33,133542,2,34.35,0.955,46,0.231,0.502,0.522,5990599,Low
1099,Residential,Rural,17151,7,Steel,Raft,0.815,1.927,1.611,4.54,34362,12,35.59,0.313,56,0.916,0.314,0.969,29154642,High
1100,Industrial,Semi-Urban,16776,2,Hybrid,Strip,0.737,1.215,1.329,6.29,156485,23,32.98,0.688,39,0.317,0.752,0.801,25627154,High
1101,Industrial,Semi-Urban,15133,8,Steel,Pile,0.673,0.854,0.806,7.42,170265,5,20.4,0.608,11,0.692,0.196,0.767,19024483,Medium
1102,Industrial,Urban,14128,11,RCC,Pile,0.814,1.161,2.1,7.9,75141,22,23.91,0.725,22,0.803,0.579,0.62,36809777,High
1103,Residential,Urban,1069,2,Hybrid,Raft,0.526,1.203,1.271,6.09,100662,8,21.18,0.883,30,0.258,0.379,0.842,1322841,Low
1104,Industrial,Rural,2473,11,Steel,Pile,0.877,0.911,1.36,8.13,101504,5,30.93,0.233,56,0.923,0.97,0.997,5612826,Low
1105,Industrial,Urban,3322,10,Hybrid,Pile,0.502,1.544,2.234,7.71,156512,16,31.18,0.426,9,0.485,0.373,0.665,7508805,Low
1106,Residential,Rural,770,5,Steel,Raft,0.653,1.216,0.889,3.94,70776,9,15.4,0.328,52,0.997,0.407,0.9,1014741,Low
1107,Industrial,Urban,16820,13,RCC,Raft,0.752,1.555,2.377,4.47,95276,1,33.29,0.082,34,0.255,0.736,0.646,39336516,High
1108,Residential,Rural,8141,12,Hybrid,Pile,0.689,0.808,0.802,7.03,22880,5,20.74,0.032,5,0.773,0.216,0.744,7560207,Low
1109,Commercial,Rural,9430,2,Hybrid,Pile,0.654,1.978,2.397,8.85,182437,1,35.03,0.765,24,0.329,0.392,0.607,21376149,Medium
1110,Industrial,Rural,7180,2,Steel,Strip,0.915,1.005,1.573,5.26,195922,17,35.82,0.129,30,0.522,0.726,0.756,12311947,Medium
1111,Commercial,Rural,1757,4,RCC,Strip,0.967,1.591,0.974,4.38,119991,1,34.92,0.015,53,0.555,0.128,0.73,2547317,Low
1112,Residential,Semi-Urban,8750,4,Hybrid,Pile,0.937,1.659,1.946,8.21,34466,15,25.2,0.438,29,0.525,0.38,0.519,22398127,High
1113,Industrial,Rural,5870,13,Steel,Pile,0.761,1.006,2.323,4.2,108397,5,23.71,0.322,59,0.47,0.107,0.691,10968046,Low
1114,Residential,Urban,5358,8,RCC,Strip,0.942,0.934,1.545,7.18,109351,9,25.88,0.066,14,0.814,0.235,0.531,7396649,Low
1115,Commercial,Semi-Urban,9081,13,RCC,Raft,0.96,0.983,1.975,3.21,147236,18,28.18,0.052,45,0.856,0.644,0.725,17469534,Medium
1116,Residential,Semi-Urban,13991,6,RCC,Pile,0.705,1.096,2.465,3.11,33595,6,21.25,0.913,2,0.468,0.511,0.99,19584941,Medium
1117,Industrial,Rural,12936,10,RCC,Strip,0.642,1.002,1.209,5.71,187985,21,38.29,0.94,17,0.586,0.24,0.646,10698229,Low
1118,Industrial,Semi-Urban,13370,8,Hybrid,Strip,0.549,1.609,2.195,6.94,38373,12,27.6,0.482,52,0.537,0.17,0.758,23575872,High
1119,Commercial,Rural,17004,13,Hybrid,Pile,0.74,1.305,1.302,3.85,36178,14,16.83,0.848,55,0.675,0.151,0.565,26470029,High
1120,Residential,Urban,7408,7,RCC,Pile,0.973,1.445,1.525,7.58,137110,7,39.93,0.8,55,0.32,0.177,0.577,13233431,Medium
1121,Industrial,Rural,11344,13,Steel,Strip,0.78,0.857,1.279,3.77,169246,7,27.1,0.579,16,0.845,0.186,0.678,13895938,Medium
1122,Commercial,Semi-Urban,19187,10,Steel,Pile,0.834,1.833,1.558,6.2,71607,19,38.67,0.751,59,0.838,0.178,0.745,46923523,High
1123,Industrial,Urban,5361,4,RCC,Raft,0.556,1.005,0.809,4.85,189433,6,24.76,0.931,13,0.672,0.15,0.851,5200546,Low
1124,Industrial,Rural,3411,2,RCC,Pile,0.572,1.232,1.316,7.51,126286,3,20.62,0.566,45,0.797,0.727,0.728,4714108,Low
1125,Residential,Urban,9491,9,Steel,Strip,0.732,0.886,1.557,7.82,117508,16,33.42,0.512,15,0.991,0.947,0.512,13968486,Medium
1126,Industrial,Urban,12072,2,RCC,Strip,0.976,0.964,1.875,3.4,157077,16,25.81,0.004,50,0.938,0.87,0.635,29624643,High
1127,Residential,Semi-Urban,10798,1,RCC,Pile,0.68,1.599,1.884,4.16,93008,18,37.04,0.542,26,0.689,0.339,0.512,14690182,Medium
1128,Industrial,Urban,7736,8,Hybrid,Strip,0.939,1.631,1.792,8.36,181949,5,26.61,0.818,42,0.609,0.284,0.959,24183788,High
1129,Commercial,Semi-Urban,6065,10,Hybrid,Raft,0.56,1.612,1.298,5.49,25827,20,23.46,0.762,36,0.628,0.143,0.515,7745094,Low
1130,Industrial,Urban,17993,9,RCC,Pile,0.809,1.463,2.411,5.86,67405,29,39.17,0.646,32,0.573,0.24,0.525,47683857,High
1131,Residential,Rural,7429,1,RCC,Pile,0.8,1.943,1.466,4.01,52274,4,35.76,0.025,53,0.584,0.611,0.649,10987758,Low
1132,Residential,Urban,18134,7,Hybrid,Strip,0.93,1.409,1.169,8.97,55604,16,20.14,0.925,19,0.786,0.998,0.816,38116468,High
1133,Commercial,Rural,18533,2,RCC,Raft,0.502,1.339,1.743,8.54,89373,4,27.22,0.429,24,0.994,0.873,0.679,20857023,Medium
1134,Industrial,Rural,7851,6,Hybrid,Pile,0.595,1.097,2.073,3.01,125187,24,17.83,0.572,49,0.236,0.563,0.531,11762904,Medium
1135,Industrial,Urban,19840,13,Hybrid,Strip,0.61,0.919,0.821,6.3,73523,13,17.69,0.398,57,0.384,0.481,0.918,20856533,Medium
1136,Commercial,Rural,15401,11,Steel,Pile,0.975,1.458,1.27,8.23,155245,14,36.34,0.349,13,0.368,0.233,0.85,29158256,High
1137,Industrial,Urban,11138,5,Hybrid,Raft,0.577,1.178,2.202,5.58,5200,17,38.3,0.511,36,0.866,0.477,0.698,25459937,High
1138,Industrial,Urban,6328,1,Steel,Strip,0.518,1.429,1.662,5.62,45593,3,33.47,0.495,4,0.536,0.635,0.838,9807664,Low
1139,Residential,Rural,12056,2,Steel,Pile,0.767,1.047,1.494,5.28,27584,25,39.73,0.356,53,0.62,0.636,0.637,16865077,Medium
1140,Industrial,Rural,18599,2,Hybrid,Strip,0.764,1.806,2.383,3.17,84956,3,16.13,0.804,36,0.575,0.602,0.764,46989778,High
1141,Industrial,Semi-Urban,8650,10,RCC,Strip,0.922,2.0,0.952,7.74,63126,17,23.29,0.051,9,0.883,0.842,0.94,16903838,Medium
1142,Commercial,Rural,10607,10,Hybrid,Raft,0.974,1.187,1.846,5.74,141297,13,18.3,0.117,9,0.6,0.559,0.554,22402146,High
1143,Commercial,Semi-Urban,2257,6,Steel,Raft,0.769,1.811,1.382,6.19,172553,21,34.55,0.083,8,0.734,0.526,0.923,4618814,Low
1144,Residential,Rural,18693,11,Hybrid,Pile,0.965,1.848,0.92,4.53,135061,20,37.26,0.565,13,0.216,0.375,0.894,28735553,High
1145,Industrial,Urban,11699,12,Hybrid,Strip,0.863,1.995,1.163,7.7,27036,10,26.18,0.413,32,0.722,0.262,0.975,30738708,High
1146,Industrial,Rural,16795,1,Steel,Strip,0.632,1.211,1.867,7.76,14130,29,35.73,0.452,28,0.393,0.101,0.757,19104560,Medium
1147,Industrial,Urban,13307,11,Hybrid,Strip,0.964,1.707,0.848,6.32,40884,24,36.19,0.577,23,0.893,0.39,0.637,33051165,High
1148,Residential,Urban,18035,13,Hybrid,Pile,0.834,1.075,1.807,8.43,106921,27,18.49,0.324,5,0.801,0.67,0.677,43527626,High
1149,Residential,Urban,5992,4,Steel,Raft,0.707,1.55,2.427,3.7,31996,12,24.42,0.183,58,0.287,0.603,0.82,11614083,Medium
1150,Commercial,Semi-Urban,6802,12,RCC,Raft,0.84,1.646,2.152,7.72,59342,27,19.7,0.307,56,0.283,0.577,0.57,13165617,Medium
1151,Residential,Rural,16429,10,Steel,Strip,0.701,1.689,1.388,6.35,46723,9,31.75,0.994,25,0.434,0.795,0.676,18033277,Medium
1152,Industrial,Urban,5247,11,Steel,Pile,0.557,1.049,1.035,4.39,96366,26,24.68,0.953,38,0.301,0.31,0.863,5982163,Low
1153,Industrial,Urban,14738,5,Hybrid,Strip,0.859,1.818,1.591,3.79,42387,21,31.69,0.957,43,0.792,0.711,0.787,44101224,High
1154,Residential,Semi-Urban,8902,2,Steel,Raft,0.912,1.305,1.468,4.81,126978,1,36.9,0.028,46,0.989,0.646,0.531,17026405,Medium
1155,Industrial,Rural,11186,2,Hybrid,Strip,0.864,1.06,2.452,8.14,195214,4,25.32,0.089,47,0.724,0.405,0.748,28116158,High
1156,Industrial,Rural,5181,7,Hybrid,Strip,0.615,1.451,2.483,7.73,75724,19,39.3,0.046,2,0.399,0.297,0.762,8776145,Low
1157,Residential,Semi-Urban,19391,7,Hybrid,Strip,0.978,1.836,1.498,6.87,198646,6,25.22,0.815,47,0.651,0.606,0.85,43542756,High
1158,Residential,Semi-Urban,19847,6,Steel,Raft,0.513,1.961,1.053,3.54,42734,15,20.34,0.991,39,0.845,0.951,0.505,21660397,Medium
1159,Industrial,Rural,3928,1,Steel,Pile,0.666,1.698,2.348,8.73,21342,18,28.23,0.543,45,0.97,0.169,0.714,9668118,Low
1160,Industrial,Semi-Urban,7994,12,Hybrid,Strip,0.63,0.807,2.149,4.83,28924,5,24.98,0.701,31,0.204,0.958,0.943,11478482,Medium
1161,Industrial,Rural,4455,13,RCC,Raft,0.524,0.962,1.669,6.64,101155,8,18.13,0.352,25,0.619,0.518,0.513,4281447,Low
1162,Commercial,Rural,14526,12,RCC,Strip,0.703,0.892,1.421,7.82,91113,11,15.58,0.765,2,0.563,0.739,0.836,14191217,Medium
1163,Commercial,Urban,9744,3,Steel,Pile,0.812,0.921,1.562,3.8,179872,5,33.6,0.656,11,0.532,0.823,0.612,19757954,Medium
1164,Commercial,Urban,1213,9,Hybrid,Strip,0.941,1.26,2.333,6.91,157897,21,38.32,0.801,13,0.603,0.236,0.694,3614938,Low
1165,Residential,Rural,11580,10,Hybrid,Pile,0.995,1.206,1.114,3.19,128592,8,26.01,0.5,18,0.523,0.14,0.942,17139425,Medium
1166,Commercial,Rural,9021,1,Steel,Raft,0.904,0.936,2.172,3.61,46633,11,16.64,0.194,3,0.475,0.216,0.681,15560540,Medium
1167,Residential,Rural,2246,2,RCC,Pile,0.734,1.859,0.831,7.34,173444,21,33.52,0.476,11,0.292,0.407,0.773,2374509,Low
1168,Residential,Rural,18091,8,Steel,Pile,0.862,1.539,2.365,3.93,46901,20,36.68,0.312,34,0.6,0.961,0.545,40835728,High
1169,Commercial,Rural,17668,7,Steel,Raft,0.922,1.756,1.651,5.66,22326,10,23.09,0.694,53,0.857,0.138,0.662,38776100,High
1170,Commercial,Rural,3196,9,Hybrid,Pile,0.733,1.246,1.185,4.49,107775,9,20.55,0.137,58,0.284,0.928,0.571,5118091,Low
1171,Commercial,Semi-Urban,12512,10,Steel,Pile,0.893,1.292,0.805,5.53,74279,2,23.43,0.332,22,0.791,0.605,0.781,23192543,High
1172,Industrial,Rural,15188,12,RCC,Raft,0.741,1.181,1.751,3.46,76819,17,37.71,0.007,47,0.414,0.192,0.73,18738160,Medium
1173,Commercial,Semi-Urban,5536,12,Steel,Pile,0.693,1.326,1.216,7.53,41604,4,25.45,0.816,2,0.505,0.237,0.632,7838092,Low
1174,Industrial,Semi-Urban,7627,4,Hybrid,Pile,0.763,1.532,1.873,3.47,105732,26,31.35,0.407,2,0.99,0.72,1.0,22360407,High
1175,Residential,Rural,4218,4,RCC,Strip,0.838,1.392,1.278,8.03,85274,12,16.86,0.776,38,0.74,0.648,0.577,4834012,Low
1176,Industrial,Rural,8410,7,Hybrid,Pile,0.863,1.806,0.95,6.98,114870,19,22.04,0.098,41,0.775,0.251,0.913,20056175,Medium
1177,Commercial,Semi-Urban,3193,1,Steel,Pile,0.678,1.88,1.659,5.5,145453,25,20.7,0.194,56,0.682,0.914,0.518,7522519,Low
1178,Residential,Semi-Urban,17509,10,Steel,Pile,0.786,1.364,1.76,8.2,50816,19,16.57,0.85,15,0.458,0.22,0.923,28088272,High
